LOAN_ID,MOB,InterestRate,IssuedDate,DTI,State,HomeOwnership,MonthlyIncome,EarliestCREDITLine,OpenCREDITLines,TotalCREDITLines,RevolvingCREDITBalance,RevolvingLineUtilization,Inquiries6M,AccountsDQ,DelinquentAmount,DQ2yrs,MonthsSinceDQ,PublicRec,MonthsSinceLastRec,Education,EmploymentLength,currentpolicy,term,appl_fico_band,vintage,TERM,MFMonth,target,Amount.Requested,LoanPurpose
290807,1,15.7,2/22/2010,20.44,NY,RENT,7083,1/30/1995,16,32,28511,56.7,1,0,0,0,55,0,,"Marist College,Xavier High School",< 1 year,1,36,670-674,10Q1,36,0010-03-01,0,15000,debt_consolidation
347648,1,12.73,2/19/2010,20.64,CA,RENT,5000,3/4/2005,8,18,3353,54.1,0,0,0,0,999,0,,,1 year,1,36,710-714,10Q1,36,0010-03-01,0,10000,house
348340,1,11.12,7/28/2010,19.72,NY,RENT,5916.67,1/13/2001,11,18,20736,53.1,0,0,0,0,999,0,,,8 years,1,36,710-714,10Q3,36,0010-09-01,0,8000,credit_card
357509,1,10.25,3/30/2010,11.62,CA,RENT,5000,11/12/1999,13,22,5419,31.1,2,0,0,0,999,0,,,1 year,1,36,715-719,10Q1,36,0010-05-01,0,7500,debt_consolidation
362601,1,13.23,8/19/2010,22.79,KY,RENT,3750,3/29/2001,11,26,5738,43.8,1,0,0,1,2,0,,,2 years,1,36,675-679,10Q3,36,0010-09-01,0,4000,debt_consolidation
363593,1,10.38,7/15/2010,11.57,GA,MORTGAGE,4954.17,11/18/1997,16,24,10516,19.5,2,0,0,0,999,0,,,1 year,1,36,710-714,10Q3,36,0010-08-01,0,3000,credit_card
364636,1,9.88,2/22/2010,11.78,NY,MORTGAGE,5833.33,8/7/1994,6,24,7875,25.8,3,0,0,0,61,0,,,7 years,1,36,730-734,10Q1,36,0010-03-01,0,10000,small_business
364693,1,14.54,2/28/2011,1.24,MO,MORTGAGE,7500,5/12/1996,13,39,6227,65.5,0,0,0,2,22,0,,,1 year,1,36,665-669,11Q1,36,0011-04-01,0,8525,debt_consolidation
365196,1,10.62,2/12/2010,1.38,NY,MORTGAGE,4644,2/17/1998,3,7,3153,23.7,0,0,0,0,999,0,,,< 1 year,1,36,780-784,10Q1,36,0010-03-01,0,13000,credit_card
366004,1,12.61,12/29/2010,13.68,CA,RENT,4166.67,1/24/2000,11,22,12007,65.6,1,0,0,0,44,0,,,3 years,1,36,670-674,10Q4,36,0011-02-01,0,4000,debt_consolidation
368492,1,9.62,11/30/2010,4.91,PA,RENT,1750,5/15/2003,4,7,1007,6.3,0,0,0,1,18,0,,,< 1 year,1,36,710-714,10Q4,36,0011-01-01,0,4500,debt_consolidation
370866,1,14.22,2/25/2010,3.48,CA,RENT,5000,7/6/1999,4,17,4628,94.4,3,0,0,0,999,0,,,10+ years,1,36,700-704,10Q1,36,0010-03-01,0,15000,small_business
376257,1,13.48,2/23/2010,14.67,CT,MORTGAGE,9533.33,4/22/1996,18,34,22908,59.2,3,0,0,0,75,0,,,3 years,1,36,700-704,10Q1,36,0010-03-01,0,20000,debt_consolidation
377346,1,13.11,4/27/2010,15.47,CA,RENT,2656.25,1/13/2000,8,19,9432,54.8,0,0,0,0,30,0,,Long Beach City College,3 years,1,36,680-684,10Q2,36,0010-06-01,0,7500,debt_consolidation
